chinese,english,part,part2,prefix
飛機,airplane,n,,a
機場,airport,n,,a
動物,animal,n,,a
回答,answer,v,n,a
在,at,prep,,a
遠,away,adv,,a
麵包店,bakery,n,,b
銀行,bank,n,,b
銀行,bank,n,,b
棒球,baseball,n,,b
籃,basket,n,,b
籃球,basketball,n,,b
洗澡,bath,v,,b
浴室,bathroom,n,,b
是,be,v,,b
海灘,beach,n,,b
豆,bean,n,,b
因為,because,conj,,b
臥室,bedroom,n,,b
在....之前,before,prep,,b
在....後面,behind,prep,,b
在.....旁邊,beside,prep,,b
生日,birthday,n,,b
黑板,blackboard,n,,b
碗,bowl,n,,b
麵包,bread,n,,b
早餐,breakfast,n,,b
刷,brush,v,,b
包子,bun,n,,b
商人,businessman,n,,b
忙,busy,adj,,b
牛油,butter,n,,b
蝴蝶,butterfly,n,,b
購買,buy,v,,b
通過,by,prep,,b
籠,cage,n,,c
相機,camera,n,,c
營,camp,v,n,c
蠟燭,candle,n,,c
案件,case,n,,c
分鍾,cent,n,,c
粉筆,chalk,n,,c
檢查,check,v,n,c
棋,chess,n,,c
雞,chicken,n,,c
兒童,child,n,,c
中國,china,n,,c
膽酸鹽,chocolate,n,,c
聖誕,christmas,n,,c
教會,church,n,,c
圈,circle,n,,c
類,class,n,,c
同班同學,classmate,n,,c
課堂,classroom,n,,c
清潔,clean,v,,c
明確,clear,adj,,c
店員,clerk,n,,c
多雲的,cloudy,adj,,c
b,club,n,,c
咖啡,coffee,n,,c
梳,comb,n,,c
可笑的,comic,n,,c
電腦,computer,n,,c
複製,copy,v,,c
角,corner,n,,c
成本,cost,v,,c
縣,county,n,,c
表姐,cousin,n,,c
蓋,cover,v,,c
牛仔,cowboy,n,,c
瘋,crazy,adj,,c
黑暗,dark,adj,,d
牙醫,dentist,n,,d
死,die,v,,d
飯廳,dining room,n,,d
臟,dirty,adj,,d
躲避球,dodge ball,n,,d
美元,dollar,n,,d
龍,dragon,n,,d
抽屜,drawer,n,,d
夢想,dream,v,n,d
連衣裙,dress,n,,d
喝,drink,v,,d
駕駛,drive,v,,d
德里奧,drop,v,,d
鼓,drum,n,,d
餃子,dumpling,n,,d
電子郵件,e-mail,n,,e
地球,earth,n,,e
復活節,Easter,n,,e
八十,eighty,n,,e
英語,english,n,,e
請享用,enjoy,v,,e
事實,fact,n,,f
秋季,fall,n,,f
農場,farm,n,,f
飼料,feed,v,,f
感覺,feel,v,,f
發熱,fever,v,n,f
五十,fifty,n,,f
鬥爭,fight,v,n,f
填,fill,v,,f
完,finish,v,,f
地板,floor,n,,f
四十,forty,n,,f
炸薯條,French fries,n,,f
星期五,friday,n,,f
飛盤,frisbee,n,,f
從,from,prep,,f
面前,front,n,,f
水果,fruit,n,,f
炒,fry,v,,f
充分,full,adj,,f
花園,garden,n,,g
玻璃,glass,n,,g
眼鏡,glasses,n,,g
手套,glove,n,,g
年級,grade,n,,g
葡萄,grape,n,,g
草,grass,n,,g
組,group,n,,g
番石榴,guava,n,,g
猜測,guess,v,n,g
吉他,guitar,n,,g
健身房,gym,n,,g
習慣,habit,n,,h
萬聖節,Halloween,n,,h
英俊,handsome,adj,,h
心,heart,n,,h
熱,heat,v,n,h
重,heavy,adj,,h
隱藏,hide,v,,h
爬坡道,hill,n,,h
愛好,hobby,n,,h
蜜糖,honey,n,,h
醫院,hospital,n,,h
小時,hour,n,,h
家庭主婦,housewife,n,,h
百,hundred,n,,h
飢餓,hungry,adj,,h
匆忙,hurry,v,,h
傷害,hurt,v,,h
如果,if,conj,,i
昆蟲,insect,n,,i
內,inside,prep,,i
加入,join,v,,j
七月,july,n,,j
只是,just,adv,,j
袋鼠,kangaroo,n,,k
殺,kill,v,,k
廚房,kitchen,n,,k
刀,knife,n,,k
晚了,late,adj,,l
後來,later,adv,,l
律師,lawyer,n,,l
領導,leader,n,,l
領導,leader,v,,l
學習,learn,v,,l
離開,leave,v,,l
剩下,left,n,,l
借,lend,v,,l
生菜,lettuce,n,,l
生活,live,v,,l
客廳,living room,n,,l
失去,lose,v,,l
幸運,lucky,adj,,l
午餐,lunch,n,,l
魔法,magic,adj,n,m
郵件,mail,n,,m
郵遞員,mailman,n,,m
市場,market,n,,m
數學,math,n,,m
可能,may,aux,,m
意思,mean,v,,m
菜單,menu,n,,m
心神,mind,v,,m
分鐘,minute,n,,m
星期一,monday,n,,m
月,month,n,,m
最,most,adj,,m
移動,move,v,,m
電影,movie,n,,m
捷運,MRT,n,,m
釘,nail,n,,n
近,near,prep,,n
決不,never,adv,,n
九十,ninety,n,,n
沒有人,nobody,pron,,n
的,of,prep,,o
關,off,prep,,o
辦公室,office,n,,o
官,officer,n,,o
只要,only,adv,,o
外,outside,prep,,o
過度,over,adj,,o
塗料,paint,v,,p
對,pair,n,,p
番木瓜,papaya,n,,p
父母,parent,n,,p
糊,paste,v,n,p
人,people,n,,p
人,person,n,,p
野餐,picnic,n,,p
行星,planet,n,,p
廠,plant,n,,p
廠,plant,n,,p
盤子,plate,n,,p
播放器,player,n,,p
操場,playground,n,,p
請,please,v,,p
口袋,pocket,n,,p
當下,present,n,,p
漂亮,pretty,adj,adv,p
獎,prize,n,,p
南瓜,pumpkin,n,,p
題,question,n,,q
快,quick,adj,,q
安靜,quiet,adj,,q
鐵路,railroad,n,,r
提高,raise,v,,r
重複,repeat,v,n,r
記者,reporter,n,,r
餐廳,restaurant,n,,r
衛生間,restroom,n,,r
對,right,n,,r
溜冰鞋,rooler-skate,n,,r
回合,round,adj,,r
推銷員,salesman,n,,s
星期六,saturday,n,,s
科學,science,n,,s
摩托車,scooter,n,,s
屏幕,screen,n,,s
季節,season,n,,s
蹺蹺板,seesaw,n,,s
句子,sentence,n,,s
七十,seventy,n,,s
形狀,shape,n,,s
分享,share,v,,s
