a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d10000,text,,"【？？？】：
歡迎勇者$username 來到 怪物領地。",r00000,,
d10001,text,,您放下剛剛抬起的手，映入眼簾的是...,r00000,,
d10002,image,城市,https://dlms.iiiedu.org.tw/eng/img/d10002.png,r00000,,
d10003,confirm,,您的感想是...,r10000,r10001,
d10004,text,,"【侍衛】：
咳咳！請問是冒險者公會那轉過來的人嗎？",,,
d10005,confirm,,您的回答...,r10002,r10003,
d10006,text,,"【侍衛】：
好，那這邊請。",,,
d10007,text,,"侍衛帶你離開了傳送站，又穿越了不少具有異國風情的街道。
一路上，儘管風景宜人，但許多平民面黃肌瘦、看起來餓肚子很久了。
侍衛沒有說話，其他您遇到的平民也沒有。只有來自遠處、模糊不清的低喃聲伴隨了一路。",,,
d10008,text,,"過了一陣子，侍衛帶您停在一間老舊的屋子前。這棟平房幾乎都是用木頭蓋的，座落在無人用心整理的庭園裡。
褪色的外牆攀滿了不知名的藤蔓，錯落的葉子和藤蔓上鮮豔的靛色花朵增添了不少詭譎的氣息...",,,
d10009,text,,看侍衛不再前進，您想，這裡大概就是要去的地方了吧！,,,
d10010,confirm,,您決定...,r10004,r10005,
d10011,text,,"在您碰上門之前，斑駁的木門已經緩緩地被從內推開了，生鏽的鉸鏈因為難得的動作發出了刺耳的嘎嘎聲。
定睛一看，室內的裝潢與屋子的外貌風格一致，清一色都是受潮的木頭傢俱，屋內的霉味讓您不自覺得皺起眉頭。
除此之外，屋內的環境狀況都還算是整齊，就是老舊陰森了點。",,,
d10012,confirm,,您決定...,,,
d10013,text,,"【？？？】：
是勇者$username 嗎？
進來吧！我等您一陣子了。",r10006,r10007,
d10014,text,,"您停下腳步，往前看了看。
右前方的餐桌邊是一位  半人馬，他低著頭所以看不出他的容貌，但是剛剛那句話大概就是說的了。",,,
d10015,text,,"【半人馬】：
久仰大名，$username 。我是 Ariel，是 領主的女兒。",,,
d10016,text,,說話的那人緩緩抬起頭，眼裡充滿陰鬱的氣息。,,,
d10017,text,,"【Ariel】：
我就不拐彎抹角了，上週、保護領地內 農作物生長 的 綠水晶 被神秘組織的貪吃鬼偷走，雖然貪吃鬼已經被抓到了，但是 綠水晶在他逃跑的過程中已經被打碎散落在領土各地。
少了完整綠水晶保護，我們領土內的農作物生長緩慢，人民長期處於挨餓的狀況，讓我和我父王都於心不忍。父王焦急的尋找了許多尋寶專家來找散落的綠水晶，但已經五天了，碎片怎麼找都還沒齊全...",,,
d10018,confirm,,您覺得...,,,
d10019,text,,"【Ariel】：
是啊，但在這樣下去不是辦法。
我很希望各個有志之士都能協助我們尋找綠水晶，讓我們領土內的人民盡快回到過去繁榮的模樣。
請問您可以幫幫我、幫幫我們怪物領土嗎？",r10008,r10009,
d10020,confirm,,您的想法是...,,,
d10021,text,,"【Ariel】：
$username，真的非常感謝您！
為了方便您尋找，請讓我的侍僕跟著您一起上路吧！他會告訴您該注意的事項，也找得到我。
Silas，過來吧！",r10010,r10011,
d10022,text,,語畢，一個身影緩緩從屋子深處的陰暗角落出現。,,,
d10023,text,,"【Silas】：
勇、勇者您好，我我我是 冒失鬼 Silas。",,,
d10024,confirm,,您覺得Silas...,,,
d10025,text,,"【Ariel】：
不好意思啊，Silas是有一點內向，但他本性不壞也很認真努力的！
（轉向Silas）
勇者 $username 、Silas，麻煩你們了！",r10012,r10013,
d10026,confirm,,您想說...,,,
d10027,text,,"【Ariel】
希望可以在傍晚前得到好消息。",r10014,r10015,
d10028,text,,"您和 Silas轉身離開屋子。
旅程就此展開...",,,
d100**,text,,"（第$count 題）
【Silas】：
勇者$username ，現在是 8:00，Ariel 希望我們在傍晚18:00前完成。",,,
d10100,text,,"噹——噹——噹——
遠方的教堂響起了鐘聲，宣告著夜幕的來臨。",r00000,,
d10101,text,,您看向一旁跟您四處奔波一天的Silas，他的面容被夕陽餘暉渲染成金黃色，眼角溢出了溫婉的情緒。,r00000,,
d10102,text,,"【Silas】：
勇者$username，已經18:00了、太陽即將西下。
我們該拿著今天獲得的水晶回去給 Ariel了。",r00000,,
d10103,confirm,,您想說...,r01000,r01001,
d10104,text,,"【Silas】：
今天辛苦您了，走吧！",r00000,,
d10105,text,,"Silas帶著您走向剛才遇到Ariel的那個屋子前，最後停在庭園的一個大石頭邊。
他搬起那塊石頭，原先的遮蔽的地上原來有一個傳送陣。",r00000,,
d10106,text,,"【Silas】：
如果由我或Ariel開啟這個傳送陣，便可以直接到達領主宅邸內部。
勇者 $username ，這邊請。",r00000,,
d10107,confirm,,您決定...,r01002,r01003,
d10108,text,,Silas伸手覆上傳送陣的啟動鈕，您的眼前再度陷入黑暗。,r00000,,
d10109,text,,"【Ariel】：
父親，勇者$username到了！",r00000,,
d10110,text,,在偌大的房間內，除了早上看到的Ariel以外還有另一名半人馬在，想必那便是怪物領地的領主「Arthur」了。,r00000,,
d10111,confirm,,您決定...,r01004,r01005,
d10112,text,,他淡淡的看了您一眼，在正經的面容上看不出一絲情緒。,r00000,,
d10113,text,,"【Arthur】：
Ariel跟我說過你了，勇者。
如果你能有效地幫助我們恢復水晶，我會不吝嗇的重賞你的。",r00000,,
d10114,confirm,,您想說...,r01006,r01007,
d10115,text,,您從口袋中掏出今天所收穫的水晶，他們散發的光輝一如繼往的明亮、充滿魔力。,r00000,,
d10116,confirm,,您決定怎麼將綠水晶給領主...,r01008,r01009,
d10117,text,,"領主 Arthur垂眸，伸手拿取了綠水晶碎片。
隨後轉過身，準備將剛拿到的綠水晶都放入了一個已經裝有綠水晶的精緻玻璃容器中。",r00000,,
d10200,text,,"Arthur一放入您今天收集來的綠水晶，原本在裡頭的其他綠水晶忽然開始抖動，似乎是被放入那些綠水晶的吸引一般。
玻璃容器中發出溫和的光芒，您感覺到了四周似乎有種能量在蠢蠢欲動。",r00000,,
d10201,confirm,,您決定...,r01100,r01101,
d10202,text,,"【Ariel】：
父親，這是——",r00000,,
d10203,text,,"【Arthur】：
嗯，應該錯不了了！",r00000,,
d10204,text,,"【Silas】：
真是太好了！",r00000,,
d10205,text,,"許久沒見的笑容從在場每個人的臉上溢出，歡樂的氛圍充斥著整間房間。
玻璃容器中的綠水晶碎片在光芒中重新融合成一個巨大完整的綠水晶，四周的植物似乎都從死氣沈沈的狀態中甦醒了過來。
Ariel和Silas歡欣鼓舞，Arthur的臉上也難得地露出了一絲笑容。",r00000,,
d10206,text,,"【Arthur】：
勇者$username，多虧了你綠水晶才能在今天恢復原狀。為了感謝你的認真付出，除了金幣外，這個獸王墜飾也送給你了。
獸王墜飾在我們怪物領地的加持下，會保護你在未來的旅途上一路平安。請你收下吧！",r00000,,
d10207,confirm,,您決定...,r01102,r01103,
d10300,text,,Arthur在玻璃器皿中放入了您今天收集來的綠水晶，叮叮噹噹的聲音傳入一室人的耳朵。,r00000,,
d10301,text,,"【Arthur】：
唉... 還是跟前幾次一樣啊...",r00000,,
d10302,text,,"【Ariel】：
父親——",r00000,,
d10303,text,,"Arthur搖搖頭，垂著的視線中仍是沒什麼特殊情感。彷彿早就習慣了這個狀況，不哀不喜。
前面幾次應該都是這樣過來的。",r00000,,
d10304,text,,"【Arthur】：
勇者$username，雖然你蒐集到了一些綠水晶，但看起來今天收集到的數量還無法恢復綠水晶原貌，著實可惜。
儘管如此，還是很感謝你這天的幫忙。這袋金幣給你，希望你未來還是能夠像今天一樣發揮勇於幫忙的精神。",r00000,,
d10305,text,,"Ariel拿出了一袋金幣，遞給了您。
沈甸甸的布袋如同您現在的心情，沒有一絲一毫的喜悅。",r00000,,
d10306,confirm,,您決定...,r10300,r10301,
d10307,text,,"【Arthur】：
我知道了，期待您下次再來怪物領地。",r00000,,
d10400,text,,您望向窗外，夜幕低垂、燈火闌珊。是時候該離開了。,r00000,,
d10401,text,,"【Arthur】：
天色也晚了，謝謝你今天的幫忙。
侍衛，麻煩你送勇者了。",r00000,,
d10402,text,,"【Ariel】：
$username ，再見囉！",r00000,,
d10403,text,,"【Silas】：
勇者，很高興認識您！",r00000,,
d10404,confirm,,您決定...,r10400,r10401,
d10405,text,,語畢，您轉過身、隨著一旁的侍衛走向眼前的傳送陣。,r00000,,
d10406,text,,"隨著傳送陣啟動，您看著今天遇到的人們，微微一笑。
這些人們的面容迅速地融入了一片黑暗中...",r00000,,
d10500,text,,"【Silas】：
等等——",r00000,,
d10501,text,,聽到Silas的聲音，您困惑地回過頭，看到Silas急急忙忙的向您跑來...,r00000,,
d10502,text,,"【Silas】：
呼——今天跟您一起找綠水晶我很開心，希望您能收下我這份小小的心意、做為今天的紀念。",r00000,,
d10503,text,,您低頭一看，那是一只鳳凰的羽毛，在夜色中像是火苗一樣散發溫暖的光芒。,r00000,,
d10504,confirm,,您決定...,r10500,r10501,
d11000,text,,在人潮聚集的廣場上，一個哀號聲吸引了周圍人群的注意。,,,
d11001,text,,"【？？？】：
嗚嗚嗚呃呃呃呃啊——",,,
d11002,confirm,,您...,r11000,r11001,
d11003,text,,"【Silas】：
咳咳！勇者你不用擔心，他是 半獸人 Judy，其實他常常這樣的。",,,
d11004,confirm,,您覺得Judy...,r11002,r11003,
d11005,text,,"【Judy】：
為什麼我總是不會寫？我明明都記得啊嗚嗚嗚——",,,
d11006,text,,"【Silas】：
勇者，是這樣的：Judy是一名魔法學徒，但是他每次都忘記剛才學的咒語要怎麼寫。
但其實他都知道怎麼念、但就是不會寫，所以常常被他師父唸。
他師父發火起來真的很恐怖...",,,
d11007,confirm,,您想要...,r11004,r11005,
d11008,text,,Judy抬起頭，水汪汪的大眼緊盯著您和 Silas。,,,
d11009,text,,"【Judy】：
Silas！你帶救星來幫我了嗎？",,,
d11010,text,,"【Silas】：
呃、Judy你好，為你介紹一下這是勇者$username，我們現在在任務中。",,,
d11011,text,,"【Judy】：
原來是你是勇者嗎？那你是不是很厲害，可以幫我把咒語裡的一個單字寫出來？",,,
