a-replyID,type,label,text,data
,,,,
r20000,postback,裝作鎮定,你……你們好，我是來這裡接取任務的。,1
r20001,postback,感到慌張,這……這是什麼？！你們不要過來！,2
r20002,postback,困惑,妖魔領地究竟發生了什麼事呢？,1
r20003,postback,憐憫,我一定會竭盡所能，幫助領地內的民眾度過難關！,2
r20004,postback,積極詢問,我們該如何解決這個困境？,1
r20005,postback,想要幫忙,有什麼是我可以幫忙做的嗎？,2
r20006,postback,當仁不讓,當然，我一定會竭盡所能，盡力把所有的藍水晶都找回來！,1
r20007,postback,義憤填膺,鳳凰真是太可惡了！我一定會幫你們把水晶都找到！,2
r20008,postback,也太魯莽,好可怕的力道！,1
r20009,postback,有點可怕,他……他這樣還算安全嗎？！,2
r20100,postback,精神抖擻,不辛苦！也多虧了有 Keith 的照顧，讓我們收集到那麼多的水晶！,1
r20101,postback,滿懷希望,我相信我們一定能夠拯救妖怪領地的！,2
r20102,postback,十分驚奇,WOW! 怎麼會有一頭龍在這裡呢！,1
r20103,postback,十分崇拜,我有生之年竟然看得到龍！好帥！,2
r20104,postback,憐憫,領主大人好可憐……希望我帶回來的水晶，能讓他早日喝到水！,1
r20105,postback,擔憂,我帶回來的水晶，是否能夠拯救妖魔領地呢？,2
r20200,postback,謙虛,不不，這是我份內的事情，很高興能夠幫得上忙！,1
r20201,postback,開心,能夠成功拯救妖魔領地，真是太好了！,2
r20300,postback,有些沮喪,這，這是我的錯，對不起……,1
r20301,postback,有些灰心,原來如此，是我不夠努力……,2
r20400,postback,道別,謝謝你們也祝福你們！,1
r20401,postback,下次再見,下次見，我會再回來的！,2
r20500,postback,覺得感動,Keith，你真的太有心了！謝謝你！,1
r20501,postback,受寵若驚,哇，這真的是給我的嗎！這真的很有紀念意義，謝謝你！,2
r21000,postback,望向 Keith,Keith，我們該怎麼辦？我們該怎麼幫她？,1
r21001,postback,趕快安慰,小妹妹，你是與家人走失了嗎？別哭，別怕,2
r21002,postback,好可憐,但是Lily看起來好可憐啊……她發生了什麼事？,1
r21003,postback,心情不好,常常這樣？Lily 看起來心情好差，他是遇到了什麼困難嗎？,2
r21004,postback,幫助Lily,Lily你好——,1
r21005,postback,走掉,（目不斜視地走過Lily身邊）,2
r21006,postback,我試試,我盡力試試看，希望可以幫到你！,1
r21007,postback,好吧,好吧，我就試試看喔，沒幫到你不要怪我喔。,2
r21100,postback,微笑,不客氣，我只不過是順手幫了一點小忙。,1
r21101,postback,伸手,謝啦！我很喜歡！,2
r21102,postback,什麼！,什麼？！這就是我們要找的藍水晶嗎？,1
r21103,postback,真假！,真的假的！太幸運了吧！謝謝 Lily！,2
r21104,postback,謝謝,Lily真的很謝謝你～,1
r21105,postback,真幸運,Lily真是我們的幸運星啊！,2
r22000,postback,你是誰,我們受領主之託來找東西。請問...你是誰？,1
r22001,postback,你好,你好，我們應該沒有妨礙到你吧？,2
r22002,postback,一定是,我覺得Athanandros說的那一定是我們在找的藍水晶！,1
r22003,postback,不確定,那聽起來有點像藍水晶...是吧？,2
r22004,postback,去找,與其漫無目的的找，不然還是聽聽Athanandros說的地方在哪，去看看也好。,1
r22005,postback,要資料,Athanandros，請問你可以告訴我們那個地點在哪嗎？,2
r22100,postback,找到了,真的有藍水晶，找到了！,1
r22101,postback,太好了,太好啦！我們又收集到了！,2
r22102,postback,收起來,（蹲下身拾起藍水晶）,1
r22103,postback,給Keith,Keith，交給你了。,2
r22104,postback,多謝,謝謝你，Athanandros，我們拿到了！,1
r22105,postback,找到了,找到了，謝謝Athanandros的幫助。,2
r22200,postback,沒有,剛剛一路上並沒有看到。,1
r22201,postback,不知道,我不是很確定剛剛走的路是不是對的...,2
r22300,postback,有點沮喪,原來是這樣嗎…… 看來花園裡應該沒有我們要找的藍水晶了。,1
r22301,postback,白費力氣,是嗎…… 早知道我們就先到其他地方去找水晶好了。,2
r23000,postback,更容易找,按照這個狀況，感覺在一大片的紅色當中，應該更容易找到藍水晶！,1
r23001,postback,希望如此,希望藍水晶會在更好找的地方吧！,2
r23002,postback,美麗,那隻鳥的羽毛五顏六色的、顏色好美啊！,1
r23003,postback,特別,那隻鳥的羽毛顏色好特別，牠好像把大自然裡最亮麗的顏色都穿在身上了。,2
r23004,postback,是水晶,欸欸！翅膀底下的是不是水晶？,1
r23005,postback,看那裡,Keith你看那裡！,2
r23006,postback,跑,欸欸欸蜂鳥你等等——,1
r23007,postback,追,（向蜂鳥追過去）,2
r23100,postback,伸手拿,那我拿囉？,1
r23101,postback,看著水晶,又找到水晶了，太好了！,2
r24000,postback,備受感動,這真的太感人了，我想要盡我所能，去保存這一切！,1
r24001,postback,鬥志煥發,我一定會更努力地尋找藍水晶，來拯救此領地！,2
r24002,postback,更仔細聽,難道，Coralia 歌聲的背後有什麼線索？,1
r24003,postback,置之不理,不行，我不能再聽下去了，我需要積極去尋找水晶！,2
r24200,postback,保持清醒,晃了晃頭，想要讓自己更專注地再聽一次。,1
r24201,postback,全力以赴,我沒有再錯的機會了！這次一定要答對！,2
r24300,postback,疑惑,剛剛發生了什麼事情？,1
r24301,postback,無奈,唉，我怎麼沒好好把握機會呢？,2
r25000,postback,快救人,Keith 你別急，我先救了你再說！,1
r25001,postback,搶水晶,Keith 我等會兒再救你，我先把水晶拿到手！,2
r25002,postback,一較高下,好吧，就以我的聰明才智來與你定勝負吧！,1
r25003,postback,好言相勸,Fresia，有話好好說，你先把 Keith 放出來吧！,2
r25100,postback,志得意滿,有我在，一切困難將迎刃而解！,1
r25101,postback,謙虛低調,不不，這是一個相對簡單的魔咒，僥倖而已。,2
r25200,postback,不是,當然不是！再給我一次機會！,1
r25201,postback,對不起,Keith 抱歉，我再試一次！,2
r25300,postback,很傷心,嗚嗚嗚，是我不夠好……,1
r25301,postback,很抱歉,"抱歉 Keith, 我沒有拿到藍水晶……",2
r26000,postback,敲打磚頭,這五塊磚頭看起來有點鬆，我試著敲敲看好了。,1
r26001,postback,小聲詢問,您好，請問有人在家嗎？,2
r26002,postback,出聲安慰,別哭，別哭，慢慢跟我說，發生了什麼事？,1
r26003,postback,耐心詢問,小弟弟你好，我是勇者，你怎麼了？,2
r26100,postback,沒問題,包在我身上！,1
r26101,postback,當然可以,這就是我來的目的！謝謝你！,2
r26300,postback,繼續幫忙,我想要繼續留在這裡解題，幫助 Yerman！,1
r26301,postback,趕快逃跑,這裡太危險了，我們還是趕快跑吧！,2
r27000,postback,驚嘆,這就是傳說中的人面獅身獸嗎？好壯觀！,1
r27001,postback,驚嚇,這是什麼！不要過來！Keith 救我！,2
r27002,postback,無言以對,……,1
r27002,postback,覺得荒謬,一隻貓，應該要有貓的樣子吧……,2
r27004,postback,提供協助,這樣吧，我有什麼可以幫你的，我們來進行等價交換。,1
r27005,postback,提出請求,Cheshire 大人，拜託你了，一定有什麼是我們可以做的！,2
r27100,postback,果斷拒絕,你就留在這邊慢慢玩吧！,1
r27101,postback,多鼓勵牠,加油！學好英文後，小櫻會更欣賞你的！,2
